epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,57.4372,1.82501,1.10304,0.97349,0.76014,0.70814,0.66399,0.28005,2.02909,1.14133,0.99075,0.0007922,0.0007922,0.0007922
63,58.3184,1.84987,1.10766,0.97108,0.74629,0.68283,0.64339,0.23092,2.34738,1.22418,1.04065,0.0007724,0.0007724,0.0007724
64,59.2328,1.83248,1.11129,0.97509,0.71696,0.66771,0.61514,0.17377,2.66682,1.26187,1.10967,0.0007526,0.0007526,0.0007526
65,60.1323,1.8177,1.11688,0.96322,0.73662,0.6982,0.65082,0.23187,2.32996,1.24532,1.04937,0.0007328,0.0007328,0.0007328
66,61.0305,1.78537,1.09917,0.96278,0.75497,0.69686,0.66255,0.25352,2.20219,1.19337,1.01897,0.000713,0.000713,0.000713
67,61.9518,1.82019,1.10634,0.96803,0.75731,0.71133,0.67395,0.29657,1.89496,1.17739,0.97068,0.0006932,0.0006932,0.0006932
68,62.8384,1.79444,1.1157,0.95751,0.69675,0.65916,0.59513,0.15835,2.74401,1.29476,1.1188,0.0006734,0.0006734,0.0006734
69,63.741,1.78922,1.09969,0.97237,0.74351,0.67552,0.64234,0.21141,2.4713,1.22002,1.07128,0.0006536,0.0006536,0.0006536
70,64.6273,1.76702,1.10302,0.95934,0.76407,0.70243,0.67384,0.27169,2.0659,1.18765,0.99555,0.0006338,0.0006338,0.0006338
71,65.531,1.7897,1.08137,0.96227,0.76996,0.69731,0.67372,0.27757,2.0459,1.14278,0.99214,0.000614,0.000614,0.000614
72,66.5324,1.79106,1.09723,0.95754,0.76835,0.6873,0.66848,0.26073,2.12556,1.17387,0.99874,0.0005942,0.0005942,0.0005942
73,67.4718,1.78521,1.07176,0.96027,0.76293,0.69197,0.66359,0.25707,2.17357,1.14352,1.01341,0.0005744,0.0005744,0.0005744
74,68.3599,1.81289,1.10145,0.96903,0.7475,0.69864,0.6556,0.24141,2.25746,1.17472,1.02745,0.0005546,0.0005546,0.0005546
75,69.2645,1.83085,1.12312,0.96464,0.74761,0.7002,0.65794,0.24874,2.23011,1.2272,1.02464,0.0005348,0.0005348,0.0005348
76,70.197,1.80772,1.11989,0.95995,0.74752,0.69886,0.6575,0.23783,2.23984,1.17447,1.02374,0.000515,0.000515,0.000515
77,71.123,1.78259,1.06537,0.96342,0.76112,0.70062,0.66827,0.25972,2.16601,1.14489,1.0123,0.0004952,0.0004952,0.0004952
78,72.0425,1.78879,1.08548,0.95812,0.76679,0.69753,0.6733,0.27674,2.03604,1.15241,0.98842,0.0004754,0.0004754,0.0004754
79,72.9705,1.79551,1.12415,0.96225,0.73524,0.67906,0.63725,0.19535,2.57146,1.21614,1.08993,0.0004556,0.0004556,0.0004556
80,73.9023,1.80554,1.09127,0.96237,0.7606,0.70376,0.66533,0.27068,2.05444,1.14489,0.99534,0.0004358,0.0004358,0.0004358
81,74.7973,1.78924,1.09857,0.95956,0.76819,0.70109,0.67185,0.282,1.9674,1.14058,0.97785,0.000416,0.000416,0.000416
82,75.7181,1.80615,1.10305,0.96302,0.75655,0.69708,0.66147,0.24201,2.27444,1.18011,1.03114,0.0003962,0.0003962,0.0003962
83,76.6583,1.75491,1.07515,0.95388,0.75483,0.7051,0.66761,0.26805,2.09394,1.15705,0.99733,0.0003764,0.0003764,0.0003764
84,77.5865,1.79788,1.07748,0.9561,0.73203,0.69619,0.64907,0.21566,2.47165,1.18064,1.06594,0.0003566,0.0003566,0.0003566
85,78.5129,1.74949,1.07416,0.95696,0.75421,0.70933,0.67263,0.26911,2.08988,1.13803,0.99626,0.0003368,0.0003368,0.0003368
86,79.4305,1.76222,1.06774,0.96174,0.76713,0.70265,0.67646,0.28225,2.02113,1.13236,0.9852,0.000317,0.000317,0.000317
87,80.3412,1.74686,1.08242,0.95428,0.74637,0.68507,0.64841,0.22911,2.38329,1.16552,1.04626,0.0002972,0.0002972,0.0002972
88,81.2617,1.77246,1.10775,0.96152,0.76757,0.70265,0.66975,0.28301,1.9863,1.13808,0.97689,0.0002774,0.0002774,0.0002774
89,82.2471,1.74689,1.08092,0.94845,0.76987,0.70532,0.67239,0.26907,2.07226,1.1449,0.9908,0.0002576,0.0002576,0.0002576
90,83.1888,1.72916,1.07078,0.95519,0.77153,0.71311,0.6784,0.28933,1.96695,1.1285,0.97767,0.0002378,0.0002378,0.0002378
91,84.6554,1.72919,1.13765,0.96971,0.77339,0.71266,0.68558,0.31474,1.81247,1.13895,0.9573,0.000218,0.000218,0.000218
92,85.574,1.75264,1.08459,0.96529,0.74771,0.6933,0.65838,0.22994,2.43328,1.2167,1.07615,0.0001982,0.0001982,0.0001982
93,86.5146,1.72741,1.0911,0.96588,0.77061,0.70465,0.68195,0.29188,1.95305,1.15927,0.97976,0.0001784,0.0001784,0.0001784
94,87.4045,1.69485,1.07797,0.96119,0.77038,0.69968,0.6767,0.27698,2.07218,1.1508,1.00116,0.0001586,0.0001586,0.0001586
95,88.3313,1.65786,1.08446,0.96036,0.77782,0.70265,0.68374,0.30378,1.87659,1.12341,0.96755,0.0001388,0.0001388,0.0001388
96,89.2447,1.69889,1.06557,0.97313,0.7555,0.7008,0.66845,0.25222,2.26479,1.16104,1.0381,0.000119,0.000119,0.000119
97,90.1413,1.66749,1.05846,0.95966,0.75773,0.70576,0.67467,0.2611,2.2162,1.16002,1.02831,9.92e-05,9.92e-05,9.92e-05
98,91.0332,1.6506,1.06732,0.96339,0.76722,0.70494,0.68069,0.28348,2.04757,1.14233,0.99576,7.94e-05,7.94e-05,7.94e-05
99,91.9544,1.66399,1.08696,0.9611,0.76205,0.70376,0.67509,0.26701,2.16777,1.1569,1.01624,5.96e-05,5.96e-05,5.96e-05
100,92.875,1.65249,1.07825,0.96003,0.76402,0.70547,0.678,0.27509,2.11065,1.1495,1.00458,3.98e-05,3.98e-05,3.98e-05
